State,2020,2019,2018
California,107.7,114.9,120.1
Texas,91.1,94.2,92
Florida,83,80.5,80.4
New York,59.9,62.2,61.3
Michigan,38.2,40,39.3
Pennsylvania,38,39.9,40.2
Ohio,37.4,37.6,36.8
Illinois,34.4,39.1,37.6
New Jersey,34.1,36.9,35.6
Oklahoma,31.5,46.5,46.5
Georgia,29.7,30.2,31.2
North Carolina,28.2,28.7,28
Arizona,22.3,23.5,23.4
Virginia,22.3,23.5,23.3
Massachusetts,20.1,21.3,21.6
Maryland,18.6,19.9,20.1
Missouri,18.4,18.8,19.1
Tennessee,18.4,18.4,17.7
Washington,16.7,17.8,18.1
Indiana,15.7,15.4,15
Wisconsin,15.3,15.1,15
Colorado,15.1,17.2,13.9
Minnesota,14.8,15.9,14.89
Louisiana,13.9,13.5,13.88
South Carolina,13.8,13.5,10.96
Alabama,13.1,12.7,12.16
Connecticut,9.8,10.1,11.37
Oregon,9.6,10.5,8.04
Kentucky,9.5,9,9.69
Nevada,8.3,8.4,6.74
Utah,8.3,8.7,7.65
Iowa,8.2,7.8,9.44
Arkansas,8.1,7.9,7.97
Mississippi,6.9,6.6,6.11
Kansas,6.2,5.9,7.88
New Hampshire,6.2,6,5.41
Nebraska,5.6,5.3,6.55
West Virginia,5.1,5,4.97
New Mexico,5,5.3,5.1
Maine,4.3,4.1,3.66
Idaho,4,3.8,3.9
Hawaii,3.7,5.8,5.4
Delaware,3,2.9,3
Montana,3,3.2,3.5
Rhode Island,2.9,2.9,3
Vermont,2.6,2.6,2.6
South Dakota,2.5,2.3,2.3
North Dakota,2.4,2.3,2.4
Alaska,1.6,1.7,1.6
Wyoming,1.6,1.6,1.6